"x","y"
"Boston Bruins*",128
"Edmonton Oilers*",105
"Dallas Stars*",103
"New Jersey Devils*",102
"New York Rangers*",102
"Colorado Avalanche*",102
"Carolina Hurricanes*",101
"Toronto Maple Leafs*",101
"Tampa Bay Lightning*",99
"Vegas Golden Knights*",98
"Minnesota Wild*",97
"Seattle Kraken",96
"Florida Panthers",95
"New York Islanders",93
"Los Angeles Kings*",92
"Winnipeg Jets",91
"Calgary Flames",89
"Pittsburgh Penguins",88
"Washington Capitals",85
"Nashville Predators",83
"Ottawa Senators",82
"Buffalo Sabres",80
"Detroit Red Wings",75
"Vancouver Canucks",75
"St. Louis Blues",72
"Philadelphia Flyers",68
"Montreal Canadiens",61
"Arizona Coyotes",60
"San Jose Sharks",59
"Chicago Blackhawks",54
"Anaheim Ducks",45
"Columbus Blue Jackets",44
